context,answer,question
"The earth deity had power over the ghostly world, and it is believed that she was the deity behind the oracle. The older tales mentioned two dragons who were perhaps intentionally conflated. A female dragon named Delphyne (δελφύς, ""womb""), who is obviously connected with Delphi and Apollo Delphinios, and a male serpent Typhon (τύφειν, ""to smoke""), the adversary of Zeus in the Titanomachy, who the narrators confused with Python. Python was the good daemon (ἀγαθὸς δαίμων) of the temple as it appears in Minoan religion, but she was represented as a dragon, as often happens in Northern European folklore as well as in the East.",Typhon,Who was the adversary of Zeus in the titanomachy?
"In addition, Federal Records Centers exist in each region that house materials owned by Federal agencies. Federal Records Centers are not open for public research. For example, the FRC in Lenexa, Kansas holds items from the treatment of John F. Kennedy after his fatal shooting in 1963.",public,Federal Records Centers are particularly unhelpful to what type of research?
"Imperial acquired Silwood Park in 1947, to provide a site for research and teaching in those aspects of biology not well suited for the main London campus. Felix, Imperial's student newspaper, was launched on 9 December 1949. On 29 January 1950, the government announced that it was intended that Imperial should expand to meet the scientific and technological challenges of the 20th century and a major expansion of the College followed over the next decade. In 1959 the Wolfson Foundation donated £350,000 for the establishment of a new Biochemistry Department.[citation needed] A special relationship between Imperial and the Indian Institute of Technology Delhi was established in 1963.[citation needed]",Felix,What was the name of Imperial's student newspaper?
"Some nouns have two different diminutives, each with a different meaning: bloem (flower) → bloempje (lit. ""small flower""), but bloemetje (lit. also ""small flower"", meaning bouquet). A few nouns exist solely in a diminutive form, e.g. zeepaardje (seahorse), while many, e.g. meisje (girl), originally a diminutive of meid (maid), have acquired a meaning independent of their non-diminutive forms. A diminutive can sometimes be added to an uncountable noun to refer to a single portion: ijs (ice, ice cream) → ijsje (ice cream treat, cone of ice cream), bier (beer) → biertje. Some diminutive forms only exist in plural, e.g. kleertjes (clothing).",kleertjes,What's the Dutch word for the items like shirts and pants that you wear that only exists in a plural form?
"Others argue that the rule of law has survived but was transformed to allow for the exercise of discretion by administrators. For much of American history, the dominant notion of the rule of law, in this setting, has been some version of A. V. Dicey's: “no man is punishable or can be lawfully made to suffer in body or goods except for a distinct breach of law established in the ordinary legal manner before the ordinary Courts of the land.” That is, individuals should be able to challenge an administrative order by bringing suit in a court of general jurisdiction. As the dockets of worker compensation commissions, public utility commissions and other agencies burgeoned, it soon became apparent that letting judges decide for themselves all the facts in a dispute (such as the extent of an injury in a worker's compensation case) would overwhelm the courts and destroy the advantages of specialization that led to the creation of administrative agencies in the first place. Even Charles Evans Hughes, a Chief Justice of the United States, believed “you must have administration, and you must have administration by administrative officers.” By 1941, a compromise had emerged. If administrators adopted procedures that more-or-less tracked ""the ordinary legal manner"" of the courts, further review of the facts by ""the ordinary Courts of the land"" was unnecessary. That is, if you had your ""day in commission,"" the rule of law did not require a further ""day in court."" Thus Dicey's rule of law was recast into a purely procedural form.",administrators,Who can determine if a law should be approached differently?
"Mathematics: The earliest traces of mathematical knowledge in the Indian subcontinent appear with the Indus Valley Civilization (c. 4th millennium BC ~ c. 3rd millennium BC). The people of this civilization made bricks whose dimensions were in the proportion 4:2:1, considered favorable for the stability of a brick structure. They also tried to standardize measurement of length to a high degree of accuracy. They designed a ruler—the Mohenjo-daro ruler—whose unit of length (approximately 1.32 inches or 3.4 centimetres) was divided into ten equal parts. Bricks manufactured in ancient Mohenjo-daro often had dimensions that were integral multiples of this unit of length.",mathematical knowledge,The Indus Valley Civilization was the first to have traces of what?
"In 1840, Louis Philippe I obtained permission from the British to return Napoleon's remains to France. On 15 December 1840, a state funeral was held. The hearse proceeded from the Arc de Triomphe down the Champs-Élysées, across the Place de la Concorde to the Esplanade des Invalides and then to the cupola in St Jérôme's Chapel, where it remained until the tomb designed by Louis Visconti was completed. In 1861, Napoleon's remains were entombed in a porphyry sarcophagus in the crypt under the dome at Les Invalides.",1861,In what year was Napoleon's final tomb completed?
"Western commentators post-9/11 often perceive madaris as places of radical revivalism with a connotation of anti-Americanism and radical extremism, frequently associated in the Western press with Wahhabi attitudes toward non-Muslims. In Arabic the word madrasa simply means ""school"" and does not imply a political or religious affiliation, radical or otherwise. Madaris have varied curricula, and are not all religious. Some madaris in India, for example, have a secularised identity. Although early madaris were founded primarily to gain ""knowledge of God"" they also taught subjects such as mathematics and poetry. For example, in the Ottoman Empire, ""Madrasahs had seven categories of sciences that were taught, such as: styles of writing, oral sciences like the Arabic language, grammar, rhetoric, and history and intellectual sciences, such as logic."" This is similar to the Western world, in which universities began as institutions of the Catholic church.",anti-Americanism and radical extremism,What is the common western perception of the teaching received at madaris?
"Tennessee is home to several Protestant denominations, such as the National Baptist Convention (headquartered in Nashville); the Church of God in Christ and the Cumberland Presbyterian Church (both headquartered in Memphis); the Church of God and The Church of God of Prophecy (both headquartered in Cleveland). The Free Will Baptist denomination is headquartered in Antioch; its main Bible college is in Nashville. The Southern Baptist Convention maintains its general headquarters in Nashville. Publishing houses of several denominations are located in Nashville.",Cleveland,Which Tennessee city contains the headquarters of the Church of God and The Church of God of Prophecy?
"The University of Chicago's 1960–61 Group Theory Year brought together group theorists such as Daniel Gorenstein, John G. Thompson and Walter Feit, laying the foundation of a collaboration that, with input from numerous other mathematicians, classified all finite simple groups in 1982. This project exceeded previous mathematical endeavours by its sheer size, in both length of proof and number of researchers. Research is ongoing to simplify the proof of this classification. These days, group theory is still a highly active mathematical branch, impacting many other fields.a[›]",The University of Chicago,Where did the group of theorists first meet?
"Traditionally a carnival feast was the last opportunity to eat well before the time of food shortage at the end of the winter during which one was limited to the minimum necessary. On what nowadays is called vastenavond (the days before fasting) all the remaining winter stores of lard, butter and meat which were left would be eaten, for it would soon start to rot and decay. The selected livestock had in fact already been slaughtered in November and the meat would be no longer preservable. All the food that had survived the winter had to be eaten to assure that everyone was fed enough to survive until the coming spring would provide new food sources.",the days before fasting,What does vastenavond mean?
"The massive amount of data storage required to archive uncompressed streams meant that inexpensive uncompressed storage options were not available to the consumer. In 2008, the Hauppauge 1212 Personal Video Recorder was introduced. This device accepts HD content through component video inputs and stores the content in MPEG-2 format in a .ts file or in a Blu-ray compatible format .m2ts file on the hard drive or DVD burner of a computer connected to the PVR through a USB 2.0 interface. More recent systems are able to record a broadcast high definition program in its 'as broadcast' format or transcode to a format more compatible with Blu-ray.",2008,When was the Hauppauge 1212 Personal Video Recorder introduced?
"Very few early Byzantine mosaics survived the Iconoclastic destruction of the 8th century. Among the rare examples are the 6th-century Christ in majesty (or Ezekiel's Vision) mosaic in the apse of the Church of Hosios David in Thessaloniki that was hidden behind mortar during those dangerous times. Nine mosaic panels in the Hagios Demetrios Church, which were made between 634 and 730, also escaped destruction. Unusually almost all represent Saint Demetrius of Thessaloniki, often with suppliants before him.",between 634 and 730,When were the panels in the Hagios Demetrios Church created?
"Boston is sometimes called a ""city of neighborhoods"" because of the profusion of diverse subsections; the city government's Office of Neighborhood Services has officially designated 23 neighborhoods.",23 neighborhoods,How many neighborhoods are in Boston?
"In 1957, Braunstein further demonstrated that the rudimentary devices could be used for non-radio communication across a short distance. As noted by Kroemer Braunstein"".. had set up a simple optical communications link: Music emerging from a record player was used via suitable electronics to modulate the forward current of a GaAs diode. The emitted light was detected by a PbS diode some distance away. This signal was fed into an audio amplifier, and played back by a loudspeaker. Intercepting the beam stopped the music. We had a great deal of fun playing with this setup."" This setup presaged the use of LEDs for optical communication applications.",a GaAs diode,The current in non-radio communication had to go through what type of component?
"The early settlement was often subject to attack from sea and land, including periodic assaults from Spain and France (both of whom contested England's claims to the region), and pirates. These were combined with raids by Native Americans, who tried to protect themselves from so-called European ""settlers,"" who in turn wanted to expand the settlement. The heart of the city was fortified according to a 1704 plan by Governor Johnson. Except those fronting Cooper River, the walls were largely removed during the 1720s.",Spain,Which country along with France contested England's claim to the Charleston region?
"Formerly, men not wearing military uniform wore knee breeches of an 18th-century design. Women's evening dress included obligatory trains and tiaras or feathers in their hair (or both). The dress code governing formal court uniform and dress has progressively relaxed. After World War I, when Queen Mary wished to follow fashion by raising her skirts a few inches from the ground, she requested a lady-in-waiting to shorten her own skirt first to gauge the king's reaction. King George V was horrified, so the queen kept her hemline unfashionably low. Following their accession in 1936, King George VI and his consort, Queen Elizabeth, allowed the hemline of daytime skirts to rise. Today, there is no official dress code. Most men invited to Buckingham Palace in the daytime choose to wear service uniform or lounge suits; a minority wear morning coats, and in the evening, depending on the formality of the occasion, black tie or white tie.",there is no official dress code,What is the official dress code today at Buckingham Palace?
"When a state limits its treaty obligations through reservations, other states party to that treaty have the option to accept those reservations, object to them, or object and oppose them. If the state accepts them (or fails to act at all), both the reserving state and the accepting state are relieved of the reserved legal obligation as concerns their legal obligations to each other (accepting the reservation does not change the accepting state's legal obligations as concerns other parties to the treaty). If the state opposes, the parts of the treaty affected by the reservation drop out completely and no longer create any legal obligations on the reserving and accepting state, again only as concerns each other. Finally, if the state objects and opposes, there are no legal obligations under that treaty between those two state parties whatsoever. The objecting and opposing state essentially refuses to acknowledge the reserving state is a party to the treaty at all.",other parties to the treaty,Who remains unaffected when a party's reservation is accepted by a second party?
"In the United Kingdom, the film grossed £4.1 million ($6.4 million) from its Monday preview screenings. It grossed £6.3 million ($9.2 million) on its opening day and then £5.7 million ($8.8 million) on Wednesday, setting UK records for both days. In the film's first seven days it grossed £41.7 million ($63.8 million), breaking the UK record for highest first-week opening, set by Harry Potter and the Prisoner of Azkaban's £23.88 million ($36.9 million) in 2004. Its Friday–Saturday gross was £20.4 million ($31.2 million) compared to Skyfall's £20.1 million ($31 million). The film also broke the record for the best per-screen opening average with $110,000, a record previously held by The Dark Knight with $100,200. It has grossed a total of $136.3 million there. In the U.K., it surpassed Avatar to become the country's highest-grossing IMAX release ever with $10.09 million.",$9.2 million,How much money did Spectre gross on it's opening day in the UK?
"The parliamentary elections of 2005 aroused many accusations from opposition parties and international observers that President Emomalii Rahmon corruptly manipulates the election process and unemployment. The most recent elections, in February 2010, saw the ruling PDPT lose four seats in Parliament, yet still maintain a comfortable majority. The Organization for Security and Co-operation in Europe election observers said the 2010 polling ""failed to meet many key OSCE commitments"" and that ""these elections failed on many basic democratic standards."" The government insisted that only minor violations had occurred, which would not affect the will of the Tajik people.",PDPT lose four seats in Parliament,What happened in the Feb 2010 election?
"In 1940, non-Hispanic whites constituted 86.8% of the city's population. The population peaked at more than two million residents in 1950, then began to decline with the restructuring of industry, which led to the loss of many middle-class union jobs. In addition, suburbanization had been drawing off many of the wealthier residents to outlying railroad commuting towns and newer housing. Revitalization and gentrification of neighborhoods began in the late 1970s and continues into the 21st century, with much of the development in the Center City and University City areas of the city. After many of the old manufacturers and businesses left Philadelphia or shut down, the city started attracting service businesses and began to more aggressively market itself as a tourist destination. Glass-and-granite skyscrapers were built in Center City. Historic areas such as Independence National Historical Park located in Old City and Society Hill were renovated during the reformist mayoral era of the 1950s through the 1980s. They are now among the most desirable living areas of Center City. This has slowed the city's 40-year population decline after it lost nearly one-quarter of its population.",one-quarter,How much of the population left after 1950?
"Season four premiered on January 18, 2005; this was the first season of the series to be aired in high definition, although the finale of season three was also aired in high definition. The number of those attending the auditions by now had increased to over 100,000 from the 10,000 of the first season. The age limit was raised to 28 in this season, and among those who benefited from this new rule were Constantine Maroulis and Bo Bice, the two rockers of the show.",Season four,In which season was Bo Bice a contestant on American Idol?
"At a minimum, HDTV has twice the linear resolution of standard-definition television (SDTV), thus showing greater detail than either analog television or regular DVD. The technical standards for broadcasting HDTV also handle the 16:9 aspect ratio images without using letterboxing or anamorphic stretching, thus increasing the effective image resolution.",standard-definition television,What does SDTV stand for?
"The preserved records of the Reichssicherheitshauptamt (the Reich Security Main Office) show the persecution of Freemasons during the Holocaust. RSHA Amt VII (Written Records) was overseen by Professor Franz Six and was responsible for ""ideological"" tasks, by which was meant the creation of antisemitic and anti-Masonic propaganda. While the number is not accurately known, it is estimated that between 80,000 and 200,000 Freemasons were killed under the Nazi regime. Masonic concentration camp inmates were graded as political prisoners and wore an inverted red triangle.",Professor Franz Six,Who was responsible for creating antisemetic and anti-masonic propaganda?
"Egypt actively practices capital punishment. Egypt's authorities do not release figures on death sentences and executions, despite repeated requests over the years by human rights organisations. The United Nations human rights office and various NGOs expressed ""deep alarm"" after an Egyptian Minya Criminal Court sentenced 529 people to death in a single hearing on 25 March 2014. Sentenced supporters of former President Mohamed Morsi will be executed for their alleged role in violence following his ousting in July 2013. The judgment was condemned as a violation of international law. By May 2014, approximately 16,000 people (and as high as more than 40,000 by one independent count), mostly Brotherhood members or supporters, have been imprisoned after the coup  after the Muslim Brotherhood was labelled as terrorist organisation by the post-coup interim Egyptian government.",terrorist organisation,What was Muslim Brotherhood labelled post coup?
"Several websites assert that Israel is the 51st state due to the annual funding and defense support it receives from the United States. An example of this concept can be found in 2003 when Martine Rothblatt published a book called Two Stars for Peace that argued for the addition of Israel and the Palestinian territories surrounding it as the 51st state in the Union. The American State of Canaan, is a book published by Prof. Alfred de Grazia, political science and sociologist, in March 2009, proposing the creation of the 51st and 52nd states from Israel and the Palestinian territories.",Two Stars for Peace,What book did Martine Rothblatt publish?
"The City of Charleston Fire Department consists over 300 full-time firefighters. These firefighters operate out of 19 companies located throughout the city: 16 engine companies, two tower companies, and one ladder company. Training, Fire Marshall, Operations, and Administration are the divisions of the department. The department operates on a 24/48 schedule and had a Class 1 ISO rating until late 2008, when ISO officially lowered it to Class 3. Russell (Rusty) Thomas served as Fire Chief until June 2008, and was succeeded by Chief Thomas Carr in November 2008.",19,How many companies are there in the City of Charleston Fire Department?
"The Occupy Wall Street protests in Zuccotti Park in the Financial District of Lower Manhattan began on September 17, 2011, receiving global attention and spawning the Occupy movement against social and economic inequality worldwide.",Financial District,In what district of Manhattan were the Occupy Wall Street protests?
"In 2001, Lee was inducted into the Alabama Academy of Honor. In the same year, Chicago mayor Richard M. Daley initiated a reading program throughout the city's libraries, and chose his favorite book, To Kill a Mockingbird, as the first title of the One City, One Book program. Lee declared that ""there is no greater honor the novel could receive"". By 2004, the novel had been chosen by 25 communities for variations of the citywide reading program, more than any other novel. David Kipen of the National Endowment of the Arts, who supervised The Big Read, states ""people just seem to connect with it. It dredges up things in their own lives, their interactions across racial lines, legal encounters, and childhood. It's just this skeleton key to so many different parts of people's lives, and they cherish it.""",2001,Which year was Lee awarded an induction into the Alabama Academy of Honor?
"Broca, being what today would be called a neurosurgeon, had taken an interest in the pathology of speech. He wanted to localize the difference between man and the other animals, which appeared to reside in speech. He discovered the speech center of the human brain, today called Broca's area after him. His interest was mainly in Biological anthropology, but a German philosopher specializing in psychology, Theodor Waitz, took up the theme of general and social anthropology in his six-volume work, entitled Die Anthropologie der Naturvölker, 1859–1864. The title was soon translated as ""The Anthropology of Primitive Peoples"". The last two volumes were published posthumously.",psychology,What did the German philosopher Waitz specialize in?
"House also had an influence of relaying political messages to people who were considered to be outcasts of society. The music appealed to those who didn't fit into mainstream American society and was especially celebrated by many black males. Frankie Knuckles once said that the Warehouse club in Chicago was like ""church for people who have fallen from grace"" The house producer Marshall Jefferson compared it to ""old-time religion in the way that people just get happy and screamin'"". Deep house was similar to many of the messages of freedom for the black community.",outcasts of society,Who did House relay political messages to? 
"Some of the most important surviving works of Old English literature are Beowulf, an epic poem; the Anglo-Saxon Chronicle, a record of early English history; the Franks Casket, an inscribed early whalebone artefact; and Cædmon's Hymn, a Christian religious poem. There are also a number of extant prose works, such as sermons and saints' lives, biblical translations, and translated Latin works of the early Church Fathers, legal documents, such as laws and wills, and practical works on grammar, medicine, and geography. Still, poetry is considered the heart of Old English literature. Nearly all Anglo-Saxon authors are anonymous, with a few exceptions, such as Bede and Cædmon. Cædmon, the earliest English poet we know by name, served as a lay brother in the monastery at Whitby.",the Anglo-Saxon Chronicle,What is an important Old English historical record?
"Avicenna's legacy in classical psychology is primarily embodied in the Kitab al-nafs parts of his Kitab al-shifa (The Book of Healing) and Kitab al-najat (The Book of Deliverance). These were known in Latin under the title De Anima (treatises ""on the soul"").[dubious – discuss] Notably, Avicenna develops what is called the ""flying man"" argument in the Psychology of The Cure I.1.7 as defense of the argument that the soul is without quantitative extension, which has an affinity with Descartes's cogito argument (or what phenomenology designates as a form of an ""epoche"").",Descartes,Whose argument is similar to Avicenna's that the soul is without quantitative extension?
"The Convention came into force as international law on 12 January 1951 after the minimum 20 countries became parties. At that time however, only two of the five permanent members of the UN Security Council were parties to the treaty: France and the Republic of China. The Soviet Union ratified in 1954, the United Kingdom in 1970, the People's Republic of China in 1983 (having replaced the Taiwan-based Republic of China on the UNSC in 1971), and the United States in 1988. This long delay in support for the Convention by the world's most powerful nations caused the Convention to languish for over four decades. Only in the 1990s did the international law on the crime of genocide begin to be enforced.",20,What was the minimum number of countries necessary to form parties? 
"Most beers are cleared of yeast by filtering when packaged in bottles and cans. However, bottle conditioned beers retain some yeast—either by being unfiltered, or by being filtered and then reseeded with fresh yeast. It is usually recommended that the beer be poured slowly, leaving any yeast sediment at the bottom of the bottle. However, some drinkers prefer to pour in the yeast; this practice is customary with wheat beers. Typically, when serving a hefeweizen wheat beer, 90% of the contents are poured, and the remainder is swirled to suspend the sediment before pouring it into the glass. Alternatively, the bottle may be inverted prior to opening. Glass bottles are always used for bottle conditioned beers.",yeast,What ingredient is filtered out of most beers when it is packaged in bottles and cans?
"The first Digimon television series, which began airing on March 7, 1999 in Japan on Fuji TV and Kids Station and on August 14, 1999 in the United States on Fox Kids dubbed by Saban Entertainment for the North American English version. Its premise is a group of 7 kids who, while at summer camp, travel to the Digital World, inhabited by creatures known as Digital Monsters, or Digimon, learning they are chosen to be ""DigiDestined"" (""Chosen Children"" in the Japanese version) to save both the Digital and Real World from evil. Each Kid was given a Digivice which selected them to be transported to the DigiWorld and was destined to be paired up with a Digimon Partner, such as Tai being paired up with Agumon and Matt with Gabumon. The children are helped by a mysterious man/digimon named Gennai, who helps them via hologram. The Digivices help their Digimon allies to Digivolve into stronger creatures in times of peril. The Digimon usually reached higher forms when their human partners are placed in dangerous situations, such as fighting the evil forces of Devimon, Etemon and Myotismon in their Champion forms. Later, each character discovered a crest that each belonged to a person; Tai the Crest of Courage, Matt the Crest of Friendship, Sora the Crest of Love, Izzy the Crest of Knowledge, Mimi the Crest of Sincerity, Joe the Crest of Reliability, T.K. the Crest of Hope, and later Kari the Crest of Light which allowed their Digimon to digivolve into their Ultimate forms. The group consisted of seven original characters: Taichi ""Tai"" Kamiya, Yamato ""Matt"" Ishida, Sora Takenouchi, Koushiro ""Izzy"" Izumi, Mimi Tachikawa, Joe Kido, and Takeru ""T.K."" Takaishi. Later on in the series, an eighth character was introduced: Hikari ""Kari"" Kamiya (who is Taichi's younger sister).","August 14, 1999",When did Digimon begin airing in America?
"Although Foo Fighters continued to be one of the most successful rock acts, with albums like In Your Honor (2005) reaching number two in the US and UK, many of the first wave of post-grunge bands began to fade in popularity. Acts like Creed, Staind, Puddle of Mudd and Nickelback took the genre into the 2000s with considerable commercial success, abandoning most of the angst and anger of the original movement for more conventional anthems, narratives and romantic songs. They were followed in this vein by new acts including Shinedown and Seether. Acts with more conventional hard rock sounds included Andrew W.K., Beautiful Creatures and Buckcherry, whose breakthrough album 15 (2006) went platinum and spawned the single ""Sorry"" (2007), which made the Top 10 of the Billboard 100. These were joined by bands with hard rock leanings that emerged in the mid-2000s from the garage rock or post punk revival, including Black Rebel Motorcycle Club and Kings of Leon, and Queens of the Stone Age from the US, Three Days Grace from Canada, Jet from Australia and The Datsuns from New Zealand. In 2009 Them Crooked Vultures, a supergroup that brought together Foo Fighters' Dave Grohl, Queens of the Stone Age's Josh Homme and Led Zeppelin bass player John Paul Jones attracted attention as a live act and released a self-titled debut album that reached the top 20 in the US and UK and the top ten in several other countries.",Them Crooked Vultures,"What supergroup featured members of Foo Fighters, Queens of the Stone Age and Led Zeppelin?"
"In June 1989, Nintendo of America's vice president of marketing Peter Main, said that the Famicom was present in 37% of Japan's households. By 1990, 30% of American households owned the NES, compared to 23% for all personal computers. By 1990, the NES had outsold all previously released consoles worldwide.[better source needed] The slogan for this brand was It can't be beaten. In Europe and South America, however, the NES was outsold by Sega's Master System, while the Nintendo Entertainment System was not available in the Soviet Union.",30%,"In 1990, what percentage of American households owned an NES?"
"A wrestling match may be declared a no contest if the winning conditions are unable to occur. This can be due to excessive interference, loss of referee's control over the match, one or more participants sustaining debilitating injury not caused by the opponent, or the inability of a scheduled match to even begin. A no contest is a state separate and distinct from a draw — a draw indicates winning conditions were met. Although the terms are sometimes used interchangeably in practice, this usage is technically incorrect.",debilitating,What kind of injury can cause a no contest ruling?
"The persecution reached a peak in Nazi Germany's Final Solution, which led to the Holocaust and the slaughter of approximately 6 million Jews. Of the world's 15 million Jews in 1939, more than a third were killed in the Holocaust. The Holocaust—the state-led systematic persecution and genocide of European Jews (and certain communities of North African Jews in European controlled North Africa) and other minority groups of Europe during World War II by Germany and its collaborators remains the most notable modern-day persecution of Jews. The persecution and genocide were accomplished in stages. Legislation to remove the Jews from civil society was enacted years before the outbreak of World War II. Concentration camps were established in which inmates were used as slave labour until they died of exhaustion or disease. Where the Third Reich conquered new territory in Eastern Europe, specialized units called Einsatzgruppen murdered Jews and political opponents in mass shootings. Jews and Roma were crammed into ghettos before being transported hundreds of miles by freight train to extermination camps where, if they survived the journey, the majority of them were killed in gas chambers. Virtually every arm of Germany's bureaucracy was involved in the logistics of the mass murder, turning the country into what one Holocaust scholar has called ""a genocidal nation.""",approximately 6 million,How many Jews were slaughtered in the Holocaust?
"On 26 February 2012, The Sun on Sunday was launched to replace the closed News of the World, employing some of its former journalists. In late 2013, it was given a new look, with a new typeface. The average circulation for The Sun on Sunday in March 2014 was 1,686,840; but in May 2015 The Mail on Sunday sold more copies for the first time, an average of 28,650 over those of its rival: 1,497,855 to 1,469,195. Roy Greenslade issued some caveats over the May 2015 figures, but believes the weekday Daily Mail will overtake The Sun in circulation during 2016.","1,686,840",What was the circulation of The Sun on Sunday in March 2014?
"Three-phase AC railway electrification was used in Italy, Switzerland and the United States in the early twentieth century. Italy was the major user, for lines in the mountainous regions of northern Italy from 1901 until 1976. The first lines were the Burgdorf-Thun line in Switzerland (1899), and the lines of the Ferrovia Alta Valtellina from Colico to Chiavenna and Tirano in Italy, which were electrified in 1901 and 1902. Other lines where the three-phase system were used were the Simplon Tunnel in Switzerland from 1906 to 1930, and the Cascade Tunnel of the Great Northern Railway in the United States from 1909 to 1927.","Italy, Switzerland and the United States",What countries  used three-phase AC system in the the beginning of 20th century?
"In Greece Carnival is also known as the Apokriés (Greek: Αποκριές, ""saying goodbye to meat""), or the season of the ""Opening of the Triodion"", so named after the liturgical book used by the church from then until Holy Week. One of the season's high points is Tsiknopempti, when celebrants enjoy roast beef dinners; the ritual is repeated the following Sunday. The following week, the last before Lent, is called Tyrinē (Greek: Τυρινή, ""cheese [week]"") because meat is forbidden, although dairy products are not. Lent begins on ""Clean Monday"", the day after ""Cheese Sunday"". Throughout the Carnival season, people disguise themselves as maskarádes (""masqueraders"") and engage in pranks and revelry.",Tsiknopempti,What is one of the festival season's high points?
"As financial assets became more and more complex, and harder and harder to value, investors were reassured by the fact that both the international bond rating agencies and bank regulators, who came to rely on them, accepted as valid some complex mathematical models which theoretically showed the risks were much smaller than they actually proved to be. George Soros commented that ""The super-boom got out of hand when the new products became so complicated that the authorities could no longer calculate the risks and started relying on the risk management methods of the banks themselves. Similarly, the rating agencies relied on the information provided by the originators of synthetic products. It was a shocking abdication of responsibility.""",international bond rating agencies,Who reassured investors by showing the risk of complex financial innovation products was actually less than they proved to be?
"In May 2005, GE announced the launch of a program called ""Ecomagination,"" intended, in the words of CEO Jeff Immelt ""to develop tomorrow's solutions such as solar energy, hybrid locomotives, fuel cells, lower-emission aircraft engines, lighter and stronger durable materials, efficient lighting, and water purification technology"". The announcement prompted an op-ed piece in The New York Times to observe that, ""while General Electric's increased emphasis on clean technology will probably result in improved products and benefit its bottom line, Mr. Immelt's credibility as a spokesman on national environmental policy is fatally flawed because of his company's intransigence in cleaning up its own toxic legacy.""",Jeff Immelt,Who was the CEO of GE when it announced its Ecoimagination program?
"German historian Reinhart Koselleck claimed that ""On the Continent there were two social structures that left a decisive imprint on the Age of Enlightenment: the Republic of Letters and the Masonic lodges."" Scottish professor Thomas Munck argues that ""although the Masons did promote international and cross-social contacts which were essentially non-religious and broadly in agreement with enlightened values, they can hardly be described as a major radical or reformist network in their own right."" Many of the Masons values seemed to greatly appeal to Enlightenment values and thinkers. Diderot discusses the link between Freemason ideals and the enlightenment in D'Alembert's Dream, exploring masonry as a way of spreading enlightenment beliefs. Historian Margaret Jacob stresses the importance of the Masons in indirectly inspiring enlightened political thought. On the negative side, Daniel Roche contests claims that Masonry promoted egalitarianism. He argues that the lodges only attracted men of similar social backgrounds. The presence of noble women in the French ""lodges of adoption"" that formed in the 1780s was largely due to the close ties shared between these lodges and aristocratic society.",political thought,Historian Margaret Jacob stresses the importance of the Masons in indirectly inspriting what type of thinking?
"Meditation was an aspect of the practice of the yogis in the centuries preceding the Buddha. The Buddha built upon the yogis' concern with introspection and developed their meditative techniques, but rejected their theories of liberation. In Buddhism, mindfulness and clear awareness are to be developed at all times; in pre-Buddhist yogic practices there is no such injunction. A yogi in the Brahmanical tradition is not to practice while defecating, for example, while a Buddhist monastic should do so.",the yogis,Meditation was an aspect of the practice of who?
"The US reacted to the Luna program by embarking on the Ranger program in 1959, managed by NASA's Jet Propulsion Laboratory. The Block I Ranger 1 and Ranger 2 suffered Atlas-Agena launch failures in August and November 1961. The 727-pound (330 kg) Block II Ranger 3 launched successfully on January 26, 1962, but missed the Moon. The 730-pound (330 kg) Ranger 4 became the first US spacecraft to reach the Moon, but its solar panels and navigational system failed near the Moon and it impacted the far side without returning any scientific data. Ranger 5 ran out of power and missed the Moon by 725 kilometers (391 nmi) on October 21, 1962. The first successful Ranger mission was the 806-pound (366 kg) Block III Ranger 7 which impacted on July 31, 1964.",Block III Ranger 7,The first Ranger mission that didn't fail was which one?
"ARC was acquired in 1938 by the Columbia Broadcasting System (CBS, which, in turn, had been formed by the Columbia Phonograph Company, but then sold off). ARC was renamed Columbia Recording Corporation. The Columbia Phonograph Company had international subsidiaries and affiliates such as the Columbia Graphophone Company in the United Kingdom, but they were sold off prior to CBS acquiring American Columbia. RCA Victor Records executive Ted Wallerstein convinced CBS head William S. Paley to buy ARC and Paley made Wallerstein head of the newly acquired record company. The renamed company made Columbia its flagship label with Okeh its subsidiary label while deemphasizing ARC's other labels. This allowed ARC's leased labels Brunswick Records and Vocalion Records to revert to former owner Warner Bros. which sold the labels to Decca Records. Columbia kept the Brunswick catalogue recorded from December 1931 onward which was reissued on the Columbia label as well as the Vocalion label material from the same time period which was reissued on the Okeh label. Wallerstein, who was promoted at the end of 1947 from president to chairman of the record company, restored Columbia's status as a leading record company and spearheaded the successful introduction of the long playing (LP) record before he retired as Columbia's chairman in 1951. James Conkling then became head of Columbia Records. Also in 1951, Columbia severed its ties with the EMI-owned record label of the same name and began a UK distribution deal with Philips Records, whereas Okeh Records continued to be distributed by EMI on the Columbia label.",1938,In what year was ARC bought?
"Health care and emergency medical service in the city of Paris and its suburbs are provided by the Assistance publique - Hôpitaux de Paris (AP-HP), a public hospital system that employs more than 90,000 people (including practitioners, support personnel, and administrators) in 44 hospitals. It is the largest hospital system in Europe. It provides health care, teaching, research, prevention, education and emergency medical service in 52 branches of medicine. The hospitals receive more than 5.8 million annual patient visits.",44,How many hospitals are in Paris?
"Due to its large size and wide range of geographic features, the United States contains examples of nearly every global climate. The climate is temperate in most areas, subtropical in the Southern United States, tropical in Hawaii and southern Florida, polar in Alaska, semiarid in the Great Plains west of the 100th meridian, Mediterranean in coastal California and arid in the Great Basin. Its comparatively favorable agricultural climate contributed (in part) to the country's rise as a world power, with infrequent severe drought in the major agricultural regions, a general lack of widespread flooding, and a mainly temperate climate that receives adequate precipitation.",tropical,Hawaii has what type of climate?
